resolution,aspect_ratio,orientation,scale,expected_target_width,expected_target_height,raw_width_after_scale,raw_height_after_scale,output_width,output_height,actual_target_width,actual_target_height,target_delta_width,target_delta_height,target_delta,rounded,rounded_axes,width_delta,height_delta
2K,3:4,Landscape,1.7,2560,1920,1505.882353,1129.411765,1504,1136,2557,1931,-3,11,"-3W, +11H",yes,width+height,-1.882353,6.588235
2K,3:4,Landscape,1.8,2560,1920,1422.222222,1066.666667,1424,1072,2563,1930,3,10,"+3W, +10H",yes,width+height,1.777778,5.333333
2K,3:4,Landscape,1.9,2560,1920,1347.368421,1010.526316,1344,1008,2554,1915,-6,-5,"-6W, -5H",yes,width+height,-3.368421,-2.526316
2K,3:4,Landscape,2.0,2560,1920,1280.000000,960.000000,1280,960,2560,1920,0,0,0,no,,0.000000,0.000000
2K,3:4,Portrait,1.0,1920,2560,1920.000000,2560.000000,1920,2560,1920,2560,0,0,0,no,,0.000000,0.000000
2K,3:4,Portrait,1.1,1920,2560,1745.454545,2327.272727,1744,2320,1918,2552,-2,-8,"-2W, -8H",yes,width+height,-1.454545,-7.272727
2K,3:4,Portrait,1.2,1920,2560,1600.000000,2133.333333,1600,2128,1920,2554,0,-6,-6H,yes,height,0.000000,-5.333333
2K,3:4,Portrait,1.3,1920,2560,1476.923077,1969.230769,1472,1968,1914,2558,-6,-2,"-6W, -2H",yes,width+height,-4.923077,-1.230769
2K,3:4,Portrait,1.4,1920,2560,1371.428571,1828.571429,1376,1824,1926,2554,6,-6,"+6W, -6H",yes,width+height,4.571429,-4.571429
2K,3:4,Portrait,1.5,1920,2560,1280.000000,1706.666667,1280,1712,1920,2568,0,8,+8H,yes,height,0.000000,5.333333
2K,3:4,Portrait,1.6,1920,2560,1200.000000,1600.000000,1200,1600,1920,2560,0,0,0,no,,0.000000,0.000000
2K,3:4,Portrait,1.7,1920,2560,1129.411765,1505.882353,1136,1504,1931,2557,11,-3,"+11W, -3H",yes,width+height,6.588235,-1.882353
2K,3:4,Portrait,1.8,1920,2560,1066.666667,1422.222222,1072,1424,1930,2563,10,3,"+10W, +3H",yes,width+height,5.333333,1.777778
2K,3:4,Portrait,1.9,1920,2560,1010.526316,1347.368421,1008,1344,1915,2554,-5,-6,"-5W, -6H",yes,width+height,-2.526316,-3.368421
2K,3:4,Portrait,2.0,1920,2560,960.000000,1280.000000,960,1280,1920,2560,0,0,0,no,,0.000000,0.000000
2K,16:9,Landscape,1.0,2560,1440,2560.000000,1440.000000,2560,1440,2560,1440,0,0,0,no,,0.000000,0.000000
2K,16:9,Landscape,1.1,2560,1440,2327.272727,1309.090909,2320,1312,2552,1443,-8,3,"-8W, +3H",yes,width+height,-7.272727,2.909091
2K,16:9,Landscape,1.2,2560,1440,2133.333333,1200.000000,2128,1200,2554,1440,-6,0,-6W,yes,width,-5.333333,0.000000
